"matched_taxon_name","Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm","Major Group","Family code","Species code","Taxon name","Food Source","Motility","Habit","Om/Ca/He","Food size/type","FeedMode","Feeding guild"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","Ampharetinae","","","Terebelliformia","","","","","","","","Ampharetidae","A7",1,1999,1,"A7",1,"Ampharetinae sp","152252",152252,44,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharetidae","E4A",1,2017,4,"E4",4,"Ampharete acutifrons","129775",129775,33,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","","","","Terebelliformia","","","","","","","","Ampharetidae","E3C",1,2017,4,"E3",4,"Ampharetidae","981",981,33,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4C",3,2016,4,"E4",12,"Amphipoda","1135",1135,100,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4B",11,2016,4,"E4",44,"Amphipoda","1135",1135,367,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4A",6,2016,4,"E4",24,"Amphipoda","1135",1135,200,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E3A",1,2017,4,"E3",4,"Amphipoda sp","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","C4B",1,2016,4,"C4",4,"Amphipoda","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","B8A",3,2017,4,"B8",12,"Amphipoda sp","1135",1135,100,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","A7B",1,2016,4,"A7",4,"Amphipoda sp","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E3B",1,2017,4,"E3",4,"Amphipoda sp","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4A",1,2017,4,"E4",4,"Amphipoda sp","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4B",1,2017,4,"E4",4,"Amphipoda sp","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","C4A",1,2017,4,"C4",4,"Amphipoda sp","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","C4C",1,2016,4,"C4",4,"Amphipoda","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","U1C",1,2013,1,"U1",1,"Amphipoda sp","1135",1135,8,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","B8B",3,2016,4,"B8",12,"Amphipoda","1135",1135,100,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4B",1,2016,1,"E4",1,"Amphipoda","1135",1135,8,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E3C",1,2016,4,"E3",4,"Amphipoda","1135",1135,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","Dexaminoidea","Dexaminidae","Dexamine","Dexamine thea","Dexamininae","","Crustacea","Amphilochidea","Multicrustacea","","Lysianassida","Synopiidira","","","","Dexamine thea","E3C",1,2017,4,"E3",4,"Dexamine thea","102136",102136,33,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphipoda","Animalia","Arthropoda","Malacostraca","Eumalacostraca","","","Peracarida","Amphipoda","","","","","","","Crustacea","","Multicrustacea","","","","","","","Amphipoda","E4A",1,2017,1,"E4",1,"Amphipoda sp","1135",1135,8,"CRAM","0000","0001","Amphipoda indet.","SR","M","F","Om","mic/dia","Br/Gr","SR-Om-mic"
"Amphitrite","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite affinis","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite affinis","U1A",1,2013,1,"U1",1,"Amphitrite affinis","131472",131472,8,"POSE","0314","0079","Amphitrite sp.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2014,4,"E3",4,"Amphitrite cirrata","131474",131474,33,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3A",1,2015,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3A",3,2014,1,"E3",3,"Amphitrite cirrata","131474",131474,25,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","U1A",1,2013,1,"U1",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2014,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2016,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2017,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3B",3,2014,1,"E3",3,"Amphitrite cirrata","131474",131474,25,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","","","","","","","","","","","","","Amphitrite cirrata","B8A",2,2016,4,"B8",8,"Aricidea","129430",129430,67,"POSE","0314","0076","Amphitrite cirrata","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Anthozoa","Animalia","Cnidaria","Anthozoa","","","","","","","","","","","","","","","","","","","","","Anthozoa","E3A",1,2014,1,"E3",1,"Anthozoa","1292",1292,8,"CNAN","0000","0001","Anthozoa indet.","SR","M","F","Ca","mac","Pr","SR-Pr-mac"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E4",3,1999,1,"E4",3,"Apistobranchus tullbergi","129851",129851,133,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3A",1,2015,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","B8",1,1999,1,"B8",1,"Apistobranchus tullbergi","129851",129851,44,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3C",1,2017,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","B5",4,1999,1,"B5",4,"Apistobranchus tullbergi","129851",129851,178,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","B8A",1,2017,4,"B8",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E4C",1,2015,4,"E4",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3A",1,2017,4,"E3",4,"Apistobranchus tullbergi","129851",129851,33,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Apistobranchus tullbergi","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Spionida","","Apistobranchidae","Apistobranchus","Apistobranchus tullbergi","","","","Spioniformia","","","","","","","","Apistobranchus tullbergi","E3",5,1999,1,"E3",5,"Apistobranchus tullbergi","129851",129851,222,"POSE","0244","0135","Apistobranchus tullbergi","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","E3D",2,2013,1,"E3",2,"Acarina sp","1349",1349,17,"CHAC","0000","0025","Arachnida","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","U1B",2,2013,8,"U1",16,"Acarina sp","1349",1349,133,"CHAC","0000","0025","Arachnida","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","B0B",1,2013,1,"B0",1,"Acarina sp","1349",1349,8,"CHAC","0000","0025","Arachnida","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei"
"Arachnida","Animalia","Arthropoda","Arachnida","Acarina","","","","","","","","","","","Chelicerata","","","","","","","","","Acarina","B5A",1,2013,8,"B5",8,"Acarina sp","1349",1349,67,"CHAC","0000","0025","Arachnida","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei"
"Arenicolidae","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Arenicolidae","Arenicola","Arenicola marina","","","","","","","","","","","","Arenicola marina","C4A",1,2014,1,"C4",1,"Arenicola marina","129868",129868,8,"POSE","0246","0140","Arenicolidae indet.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Arenicolidae","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Arenicolidae","Arenicola","Arenicola marina","","","","","","","","","","","","Arenicola marina","C4C",1,2017,4,"C4",4,"Arenicola marina ungviði","129868",129868,33,"POSE","0246","0140","Arenicolidae indet.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Arenicolidae","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Arenicolidae","Arenicola","Arenicola marina","","","","","","","","","","","","Arenicola marina","U1C",1,2013,1,"U1",1,"Arenicola marina","129868",129868,8,"POSE","0246","0140","Arenicolidae indet.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Arenicolidae","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Arenicolidae","Arenicola","Arenicola marina","","","","","","","","","","","","Arenicola marina","E4C",1,2014,4,"E4",4,"Arenicola marina","129868",129868,33,"POSE","0246","0140","Arenicolidae indet.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Arenicolidae","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Arenicolidae","Arenicola","Arenicola marina","","","","","","","","","","","","Arenicola marina","C4B",1,2014,1,"C4",1,"Arenicola marina","129868",129868,8,"POSE","0246","0140","Arenicolidae indet.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Arenicolidae","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Arenicolidae","Arenicola","Arenicola marina","","","","","","","","","","","","Arenicola marina","C4C",1,2015,1,"C4",1,"Arenicola marina","129868",129868,8,"POSE","0246","0140","Arenicolidae indet.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","U1A",1,2013,1,"U1",1,"Aricidea suecica","130572",130572,8,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","B5A",3,2016,4,"B5",12,"Aricidea suecica","130572",130572,100,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","E3B",1,2014,4,"E3",4,"Aricidea suecica","130572",130572,33,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","C4C",2,2013,8,"C4",16,"Aricidea suecica","130572",130572,133,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","U2C",1,2013,8,"U2",8,"Aricidea suecica","130572",130572,67,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","E3A",2,2016,4,"E3",8,"Aricidea suecica","130572",130572,67,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","E3C",3,2016,4,"E3",12,"Aricidea suecica","130572",130572,100,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","E4A",1,2016,4,"E4",4,"Aricidea suecica","130572",130572,33,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","E3A",1,2014,4,"E3",4,"Aricidea suecica","130572",130572,33,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","A7B",1,2017,4,"A7",4,"Aricidea suecica","130572",130572,33,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","A7C",2,2017,4,"A7",8,"Aricidea suecica","130572",130572,67,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
"Aricidea","Animalia","Annelida","Polychaeta","Sedentaria","Scolecida","","","","","Paraonidae","Aricidea","Aricidea suecica","","","","","","","","","","","","Aricidea suecica","B5A",1,2017,4,"B5",4,"Aricidea suecica","130572",130572,33,"POSE","0276","0190","Aricidea spp.","SR","D","B","Om","sed/pom/mic/dia","De","SR-De"
